SCALERANK,NAME,SOV0NAME,SOV_A3,ADM0NAME,ADM0_A3,ADM1NAME,ISO_A2,LATITUDE,LONGITUDE,POP_MAX,POP_MIN
8,Brainerd,United States,USA,United States of America,USA,Minnesota,US,46.35800885,-94.20084986,28187,14218
8,Ft. Dodge,United States,USA,United States of America,USA,Iowa,US,42.50682273,-94.1802568,26879,25689
3,Churchill,Canada,CAN,Canada,CAN,Manitoba,CA,58.76598533,-94.1659941,1000,923
7,St. Cloud,United States,USA,United States of America,USA,Minnesota,US,45.56120994,-94.16222172,112794,59154
7,Fayetteville,United States,USA,United States of America,USA,Arkansas,US,36.06297833,-94.15720911,151671,64864
7,Beaumont,United States,USA,United States of America,USA,Texas,US,30.08626304,-94.10168278,111485,103426
7,Deer Lake,Canada,CAN,Canada,CAN,Ontario,CA,52.61703249,-94.06659448,3743,3743
4,Arviat,Canada,CAN,Canada,CAN,Nunavut,CA,61.10859211,-94.05860672,1868,1868
7,Texarkana,United States,USA,United States of America,USA,Arkansas,US,33.44210472,-94.03747481,74414,29924
8,Mankato,United States,USA,United States of America,USA,Minnesota,US,44.16362083,-93.99915674,56325,35138
7,Port Arthur,United States,USA,United States of America,USA,Texas,US,29.89898765,-93.92859257,56945,52999
7,Red Lake,Canada,CAN,Canada,CAN,Ontario,CA,51.03369244,-93.83330123,1765,1765
4,Shreveport,United States,USA,United States of America,USA,Louisiana,US,32.50001752,-93.77002344,248053,200145
3,Des Moines,United States,USA,United States of America,USA,Iowa,US,41.57998008,-93.61998092,380655,193180
7,Ames,United States,USA,United States of America,USA,Iowa,US,42.05385297,-93.61972254,57104,56606
4,Taloyoak,Canada,CAN,Canada,CAN,Nunavut,CA,69.5333126,-93.53331954,774,774
4,International Falls,United States,USA,United States of America,USA,Minnesota,US,48.60112775,-93.4108464,15240,6424
8,Albert Lea,United States,USA,United States of America,USA,Minnesota,US,43.64778668,-93.36870427,20522,17605
6,Springfield,United States,USA,United States of America,USA,Missouri,US,37.18001609,-93.31999923,210939,150443
8,Faribault,United States,USA,United States of America,USA,Minnesota,US,44.29048647,-93.26801274,25376,22633
2,Minneapolis,United States,USA,United States of America,USA,Minnesota,US,44.97997927,-93.25178634,2616000,367773
7,Lakeville,United States,USA,United States of America,USA,Minnesota,US,44.65010276,-93.24251042,261308,50994
8,Paraíso,Mexico,MEX,Mexico,MEX,Tabasco,MX,18.40002545,-93.22997888,23830,4505
7,Pijijiapan,Mexico,MEX,Mexico,MEX,Chiapas,MX,15.69039756,-93.22003117,23675,15101
8,Lake Charles,United States,USA,United States of America,USA,Louisiana,US,30.22638369,-93.21718897,83821,70309
7,Mason City,United States,USA,United States of America,USA,Iowa,US,43.15401837,-93.20083338,27802,26852
3,Tuxtla Gutiérrez,Mexico,MEX,Mexico,MEX,Chiapas,MX,16.74999697,-93.1500096,481128,466310
4,St. Paul,United States,USA,United States of America,USA,Minnesota,US,44.94398663,-93.08497481,734854,285068
7,Hot Springs,United States,USA,United States of America,USA,Arkansas,US,34.50395205,-93.05500248,44182,37470
6,Villahermosa,Mexico,MEX,Mexico,MEX,Tabasco,MX,17.99997235,-92.89997319,428564,362401
6,Dryden,Canada,CAN,Canada,CAN,Ontario,CA,49.78332949,-92.83333643,7862,7862
7,El Dorado,United States,USA,United States of America,USA,Arkansas,US,33.21392743,-92.66251998,22416,20353
7,Frontera,Mexico,MEX,Mexico,MEX,Tabasco,MX,18.5803762,-92.64998845,22621,7407
8,San Cristobal de Las Casas,Mexico,MEX,Mexico,MEX,Chiapas,MX,16.74999697,-92.63337447,186661,128996
8,Escuintla,Mexico,MEX,Mexico,MEX,Chiapas,MX,15.33000612,-92.62998967,107638,8989
8,Kirksville,United States,USA,United States of America,USA,Missouri,US,40.19368227,-92.58280908,19193,16973
7,Virginia,United States,USA,United States of America,USA,Minnesota,US,47.52367413,-92.53640365,8709,8709
7,Rochester,United States,USA,United States of America,USA,Minnesota,US,44.02205324,-92.46968937,108511,96355
7,Conway,United States,USA,United States of America,USA,Arkansas,US,35.09128054,-92.4513184,61995,51524
6,Alexandria,United States,USA,United States of America,USA,Louisiana,US,31.31109784,-92.44501388,76565,45187
8,Ottumwa,United States,USA,United States of America,USA,Iowa,US,41.01288291,-92.414809,25982,24593
7,Waterloo,United States,USA,United States of America,USA,Iowa,US,42.49315432,-92.34279789,98347,65836
7,Columbia,United States,USA,United States of America,USA,Missouri,US,38.95207847,-92.33390955,398093,91415
6,Little Rock,United States,USA,United States of America,USA,Arkansas,US,34.73608258,-92.33109318,270893,184217
6,Tapachula,Mexico,MEX,Mexico,MEX,Chiapas,MX,14.89998069,-92.2699858,221521,197961
6,Jefferson City,United States,USA,United States of America,USA,Missouri,US,38.57662335,-92.17332503,55139,35883
7,Monroe,United States,USA,United States of America,USA,Louisiana,US,32.50960349,-92.11919397,101724,51625
6,Duluth,United States,USA,United States of America,USA,Minnesota,US,46.78333173,-92.10637822,84800,79253
7,Superior,United States,USA,United States of America,USA,Wisconsin,US,46.72124249,-92.10389775,27580,27368
6,Rankin Inlet,Canada,CAN,Canada,CAN,Nunavut,CA,62.81666831,-92.09531946,2472,2334
7,Shamattawa,Canada,CAN,Canada,CAN,Manitoba,CA,55.85037518,-92.08327885,870,870
6,Lafayette,United States,USA,United States of America,USA,Louisiana,US,30.19997703,-92.01994938,158214,112197
7,Pine Bluff,United States,USA,United States of America,USA,Arkansas,US,34.22869753,-92.00305119,53217,49727
7,Sioux Lookout,Canada,CAN,Canada,CAN,Ontario,CA,50.26296429,-91.9166482,4570,4570
7,Ely,United States,USA,United States of America,USA,Minnesota,US,47.90042116,-91.82569767,3731,3643
7,Ciudad del Carmen,Mexico,MEX,Mexico,MEX,Campeche,MX,18.65365928,-91.82448019,156195,141308
8,New Iberia,United States,USA,United States of America,USA,Louisiana,US,30.00358075,-91.81830794,37540,32430
10,San Marcos,Guatemala,GTM,Guatemala,GTM,San Marcos,GT,14.96600106,-91.79999952,25088,25088
7,Cat Lake,Canada,CAN,Canada,CAN,Ontario,CA,51.71703575,-91.79998865,277,277
10,Retalhuleu,Guatemala,GTM,Guatemala,GTM,Retalhuleu,GT,14.53709704,-91.67701454,36656,36656
6,Cedar Rapids,United States,USA,United States of America,USA,Iowa,US,41.96998212,-91.66002303,170621,128056
7,Winona,United States,USA,United States of America,USA,Minnesota,US,44.0504236,-91.63919743,32897,26618
7,Atikokan,Canada,CAN,Canada,CAN,Ontario,CA,48.75039512,-91.61658899,3625,3625
8,Balancán,Mexico,MEX,Mexico,MEX,Tabasco,MX,17.79995872,-91.52997929,11895,3438
8,Iowa City,United States,USA,United States of America,USA,Iowa,US,41.66108624,-91.52997929,98516,64170
4,Quetzaltenango,Guatemala,GTM,Guatemala,GTM,Quezaltenango,GT,14.82995913,-91.52000574,575263,224703
7,Mazatenango,Guatemala,GTM,Guatemala,GTM,Suchitepéquez,GT,14.53036501,-91.50998051,64652,44132
8,Eau Claire,United States,USA,United States of America,USA,Wisconsin,US,44.81135907,-91.49835331,79740,62852
7,Huehuetenango,Guatemala,GTM,Guatemala,GTM,Huehuetenango,GT,15.32039431,-91.46998295,85992,79426
7,Tenosique,Mexico,MEX,Mexico,MEX,Tabasco,MX,17.48036582,-91.42998539,32415,17484
7,Quincy,United States,USA,United States of America,USA,Illinois,US,39.9359719,-91.40972823,47108,39731
7,Natchez,United States,USA,United States of America,USA,Mississippi,US,31.55480389,-91.38750737,23863,17118
10,Totonicapán,Guatemala,GTM,Guatemala,GTM,Totonicapán,GT,14.91399898,-91.35800061,69734,69734
8,La Crosse,United States,USA,United States of America,USA,Wisconsin,US,43.80136904,-91.23942855,87381,51818
10,Sololá,Guatemala,GTM,Guatemala,GTM,Sololá,GT,14.77299598,-91.18299551,45373,45373
4,Baton Rouge,United States,USA,United States of America,USA,Louisiana,US,30.45794578,-91.14015812,422072,223349
10,Santa Cruz Del Quiche,Guatemala,GTM,Guatemala,GTM,Quiché,GT,15.0333031,-91.13329763,23618,23618
7,Burlington,United States,USA,United States of America,USA,Iowa,US,40.80793418,-91.11276961,29773,25608
